name,status,envtag,method,leaves_budget,seed,alg,env,difficulty,leaves_actual,depth,select,report,report_min,report_max,frac100,n_report,bigjumps,candjumps
bus14_daggertree_L64_s104,ok,bus14,daggertree,64,104,DTPO,bus14,0,64,13,2.26,2.26,1.29,23.30,0.0,40,0,0
bus14_daggertree_L8_s100,ok,bus14,daggertree,8,100,DTPO,bus14,0,8,4,60.91,60.91,60.02,63.58,0.0,40,0,0
bus14_daggertree_L8_s101,ok,bus14,daggertree,8,101,DTPO,bus14,0,8,4,60.91,60.91,60.02,63.58,0.0,40,0,0
bus14_daggertree_L8_s102,ok,bus14,daggertree,8,102,DTPO,bus14,0,8,4,60.91,60.91,60.02,63.58,0.0,40,0,0
bus14_daggertree_L8_s103,ok,bus14,daggertree,8,103,DTPO,bus14,0,8,4,60.91,60.91,60.02,63.58,0.0,40,0,0
bus14_daggertree_L8_s104,ok,bus14,daggertree,8,104,DTPO,bus14,0,8,4,60.91,60.91,60.02,63.58,0.0,40,0,0
bus14_distill_L16_s100,ok,bus14,distill,16,100,DTPO,bus14,0,16,9,37.78,37.78,0.14,100.00,20.0,40,0,0
bus14_distill_L16_s101,ok,bus14,distill,16,101,DTPO,bus14,0,16,9,37.78,37.78,0.14,100.00,20.0,40,0,0
bus14_distill_L16_s102,ok,bus14,distill,16,102,DTPO,bus14,0,16,9,37.78,37.78,0.14,100.00,20.0,40,0,0
bus14_distill_L16_s103,ok,bus14,distill,16,103,DTPO,bus14,0,16,9,37.78,37.78,0.14,100.00,20.0,40,0,0
